submission_date,state - 2,tot_cases,new_case,tot_death,conf_death,new_death,State
6/16/2021,MO,608446,724,9227,,3,MISSOURI
2/21/2022,DE,256350,122,2695,2459,0,DELAWARE
1/28/2022,NC,2422056,21574,21347,18704,83,NORTH CAROLINA
6/26/2021,IN,752886,187,13826,13402,14,INDIANA
5/26/2020,WI,15863,279,517,517,3,WISCONSIN
6/8/2021,WI,675650,202,7981,7178,16,WISCONSIN
11/27/2021,ND,161093,0,1877,,0,NORTH DAKOTA
7/23/2020,WA,49841,743,1482,,14,WASHINGTON
8/23/2020,NE,31917,110,378,,5,NEBRASKA
3/26/2021,MO,565567,532,8762,,7,MISSOURI
12/1/2020,WA,170956,2210,2805,,31,WASHINGTON
6/1/2020,AL,18496,324,882,825,16,ALABAMA
2/20/2020,MS,0,0,0,,0,MISSISSIPPI
5/9/2020,WA,16774,274,921,,16,WASHINGTON
3/7/2022,NV,685865,1044,9820,,46,NEVADA
11/9/2021,CT,406219,309,8806,7216,16,CONNECTICUT
1/5/2022,NV,520948,3702,8488,,20,NEVADA
3/4/2021,VT,14536,115,204,,0,VERMONT
4/9/2020,AL,2945,340,129,122,11,ALABAMA
10/13/2021,MT,162240,1344,2109,2109,15,MONTANA
7/23/2021,CA,3947201,7984,63741,63741,46,CALIFORNIA
1/26/2021,VI,2373,23,24,,0,VIRGIN ISLANDS
10/2/2021,MI,1162693,3271,22453,21091,14,MICHIGAN
7/6/2020,CT,46976,259,4338,3466,3,CONNECTICUT
2/4/2022,NV,665211,2104,9144,,60,NEVADA
6/24/2020,AL,32833,987,1243,1150,23,ALABAMA
5/18/2020,ME,1716,28,73,72,2,MAINE
9/30/2020,NH,8266,33,439,,0,NEW HAMPSHIRE
8/8/2020,WA,62273,681,1688,,16,WASHINGTON
3/20/2020,ME,59,8,0,0,0,MAINE
3/13/2022,NV,688054,0,9922,,0,NEVADA
4/20/2021,NC,941654,1585,12987,11473,13,NORTH CAROLINA
6/29/2021,ND,110707,27,1528,,0,NORTH DAKOTA
10/4/2021,NH,122054,431,1485,,2,NEW HAMPSHIRE
11/30/2020,CA,1212968,14034,19220,19220,31,CALIFORNIA
4/20/2021,CA,3620301,1606,59804,59804,32,CALIFORNIA
